Theta_deg,Volume_m3,Pressure_Pa,Turbulence_k,BurnFraction_xb,EndGas_Temperature_K,EndGas_Pressure_Pa,KnockIntegral_KI,KnockDetected,KnockTheta_deg
-6,4.521849637770436e-05,2866194.4146188926,0.0,3.397914351555009e-06,716.0465174395212,2866194.4146188926,5.431299211666632e-11,False,
-5,4.467555554896567e-05,2913356.160700247,16.636221622846662,6.636540721083328e-06,719.0827154112379,2913356.160700247,6.582440213002873e-11,False,
-4,4.423096308333853e-05,2953015.9146345444,0.0,1.1467914662999235e-05,721.6078910030487,2953015.9146345444,7.858052947529931e-11,False,
-3,4.388493974430267e-05,2984572.9646647284,11.102087609037554,1.8210562352627413e-05,723.5992725138652,2984572.9646647284,9.240599154536774e-11,False,
-2,4.363765737817048e-05,3007535.703189473,0.0,2.7182991531371492e-05,725.0385352269608,3007535.703189473,1.0705595525304325e-10,False,
-1,4.3489238808044984e-05,3021539.6106480397,5.5544274116223304,3.870368491065701e-05,725.9122832766627,3021539.6106480397,1.2222868350490835e-10,False,
0,4.343975775808063e-05,3026361.0332612735,0.0,5.309109256257383e-05,726.2124128741257,3026361.0332612735,1.375849736904843e-10,False,
1,4.3489238808044984e-05,3021925.8237357116,0.0,7.066362329677389e-05,725.9363377890147,3021925.8237357116,1.5277233782418185e-10,False,
2,4.363765737817048e-05,3008312.2443953315,2.777636753342485,9.173963502251414e-05,725.0870649209292,3008312.2443953315,1.6745088882513114e-10,False,
3,4.388493974430267e-05,2985747.9276800375,5.384974848514773,0.00011663742409884215,723.6731158109906,2985747.9276800375,1.8131757290080594e-10,False,
4,4.423096308333853e-05,2954601.107078465,5.7592178400011695,0.00014567521367137015,721.7082983354455,2954601.107078465,1.941257075979974e-10,False,
5,4.467555554896567e-05,2915366.7262900313,8.062466233647068,0.00017917114099652576,719.2113408338898,2915366.7262900313,2.056976656299073e-10,False,
6,4.521849637770436e-05,2868648.3633761094,7.359625422019716,0.00021744324375516655,716.2054078506686,2868648.3633761094,2.1592976385578012e-10,False,
7,4.585951602526421e-05,2815137.1376599027,11.28531618720011,0.0002608094453555587,712.7175219467674,2815137.1376599027,2.2478968491546012e-10,False,
8,4.659829633322616e-05,2755588.8825103384,6.5462347076622995,0.0003095875392253866,708.7779193172415,2755588.8825103384,2.3230780559707808e-10,False,
9,4.743447072606107e-05,2690800.8652626714,18.033614520617807,0.0003640951720973451,704.4193681097377,2690800.8652626714,2.3856445104455843e-10,False,
10,4.836762443850178e-05,2621589.22935463,0.0,0.00042464982628553916,699.6764774963074,2621589.22935463,2.4367528086000236e-10,False,
11,4.939729477327918e-05,2548768.1471416345,27.636965834591624,0.0004915688009566876,694.5850230056167,2548768.1471416345,2.4777679978722915e-10,False,
12,5.052297138924033e-05,2473131.4345570295,0.0,0.0005651691923973523,689.1813098041085,2473131.4345570295,2.510135042721539e-10,False,
13,5.174409661985767e-05,2395437.121406407,33.090173320240226,0.0006457678732776362,683.5015910078928,2395437.121406407,2.5352758286142254e-10,False,
14,5.306006582214424e-05,2316395.220830231,0.0,0.0007336814709146822,677.5815531885489,2316395.220830231,2.5545151950107064e-10,False,
15,5.447022775597958e-05,2236658.7193207587,38.50306552684856,0.0008292263445370818,671.4558764227545,2236658.7193207587,2.5690349544484007e-10,False,
16,5.597388499385256e-05,2156817.6281411443,0.0,0.000932718561553525,665.1578718524586,2156817.6281411443,2.57985187513277e-10,False,
17,5.757029436101955e-05,2077395.8042246022,43.86904767905501,0.001044473872827023,658.7191959885447,2077395.8042246022,2.587814150285964e-10,False,
18,5.925866740606812e-05,1998850.1635580678,0.0,0.001164807686957814,652.1696380226183,1998850.1635580678,2.5936106508688717e-10,False,
19,6.103817090187495e-05,1921571.8680333043,49.18158215417329,0.0012940350435783898,645.5369742356712,1921571.8680333043,2.5977878520240796e-10,False,
20,6.290792737692747e-05,1845889.0603420578,0.0,0.0014324705856633146,638.8468821671721,1845889.0603420578,2.60077034371722e-10,False,
21,6.486701567697765e-05,1772070.742066868,54.43419644727869,0.0015804285308573807,632.1229064450648,1772070.742066868,2.602881971853094e-10,False,
22,6.691447155697765e-05,1700331.4291049817,0.0,0.0017382226418252156,625.3864679620829,1700331.4291049817,2.6043657034770424e-10,False,
23,6.904928830323495e-05,1630836.2682915814,59.620491056958244,0.0019061661956277787,618.6569082936821,1630836.2682915814,2.6054011626788844e-10,False,
24,7.127041738570655e-05,1563706.3532662587,0.0,0.002084571952127634,611.9515617689756,1563706.3532662587,2.6061194108996416e-10,False,
25,7.357676914034004e-05,1499024.031489247,64.73414728211753,0.002273752121429884,605.2858483219939,1499024.031489247,2.6066149617860757e-10,False,
26,7.596721348133836e-05,1436838.0445691748,0.0,0.002474018330361649,598.6733810771939,1436838.0445691748,2.606955265202581e-10,False,
27,7.844058064321568e-05,1377168.3886978263,69.7689349203445,0.0026856815879959806,592.126083489587,1377168.3886978263,2.6071880127675155e-10,False,
28,8.099566195247956e-05,1320010.8200149208,0.0,0.002909052250224975,585.6543117136083,1320010.8200149208,2.607346650224166e-10,False,
29,8.363121062875025e-05,1265340.9609248375,74.71871985845162,0.0031444399833894243,579.2669786791685,1265340.9609248375,2.6074544639453033e-10,False,
30,8.634594261510136e-05,1213117.9880606947,0.0,0.0033921537269674396,572.9716770851761,1213117.9880606947,2.6075275646369136e-10,False,
31,8.91385374373746e-05,1163287.9013651416,79.57747154594766,0.003652501655332596,566.7747991678174,1163287.9013651416,2.607577037337199e-10,False,
32,9.20076390921898e-05,1115786.3874236518,0.0,0.003925791138585155,560.6816516587861,1115786.3874236518,2.6076104730548636e-10,False,
33,9.49518569633324e-05,1070541.299590087,84.33927034233477,0.004212328702463908,554.6965648190012,1070541.299590087,2.6076330491150706e-10,False,
34,9.796976676616998e-05,1027474.7834064701,0.0,0.004512419987347083,548.8229948214758,1027474.7834064701,2.607648284649531e-10,False,
35,0.0001010599115197039,986505.0790897333,88.99831472927845,0.00482636970634831,543.0636190705904,986505.0790897333,2.607658564989547e-10,False,
36,0.00010422080254582358,947548.0340927166,0.0,0.005154481602517302,537.420424292845,947548.0340927166,2.607665503320571e-10,False,
37,0.0001074509204952862,910518.3584967372,93.5489283788639,0.005497058405152355,531.8947874253104,910518.3584967372,2.6076701887320225e-10,False,
38,0.0001107487163998982,875330.654709164,0.0,0.005854401785233443,526.487549471288,875330.654709164,2.607673355553615e-10,False,
39,0.00011411261275032621,841900.2509789588,97.98556706932747,0.006226812309986007,521.1990825963121,841900.2509789588,2.607675498501871e-10,False,
40,0.0001175410045989175,810143.8658818502,0.0,0.006614589396584103,516.0293508089353,810143.8658818502,2.607676950723005e-10,False,
41,0.0001210322606868528,779980.1283716722,102.30282543983658,0.007018031265002778,510.9779646162241,779980.1283716722,2.607677936547864e-10,False,
42,0.00012458472459490332,751329.9753954072,0.0,0.007437434890030792,506.04423006904267,751329.9753954072,2.607678607078144e-10,False,
43,0.0001281967159170088,724116.946531687,106.4954435760895,0.007873095952453557,501.2271926217248,724116.946531687,2.6076790641531724e-10,False,
44,0.00013186653145583297,698267.3927055448,0.0,0.008325308789417174,496.5256762284871,698267.3927055448,2.607679376472991e-10,False,
45,0.0001355924464393961,673710.6137986672,110.55831341871045,0.008794366343986226,491.9383180880671,673710.6137986672,2.6076795904371633e-10,False,
46,0.00013937271575782182,650378.9379370912,0.0,0.009280560113906877,487.46359943113123,650378.9379370912,2.607679737428922e-10,False,
47,0.00014320557521917528,628207.7534054278,114.48648498663337,0.00978418009958626,483.09987272399434,628207.7534054278,2.6076798387106404e-10,False,
48,0.00014708924282331046,607135.5025065443,0.0,0.01030551475130359,478.8453856387056,607135.5025065443,2.60767990871517e-10,False,
49,0.0001510219200525739,587103.6452497205,118.27517240789116,0.010844850915663895,474.6983021147921,587103.6452497205,2.6076799572601713e-10,False,
50,0.0001550017931781589,568056.5994957794,0.0,0.011402473781309097,470.65672081280974,568056.5994957794,2.6076799910392827e-10,False,
51,0.0001590270345808312,549941.6630997605,121.91975975046358,0.011978666823900808,466.71869123501983,549941.6630997605,2.6076800146275073e-10,False,
52,0.0001630958040846926,532708.9226540758,0.0,0.012573711750388905,462.882227764447,532708.9226540758,2.6076800311600586e-10,False,
53,0.0001672062503025806,516311.1526318425,125.41580664607939,0.013187888442580786,459.1453218506218,516311.1526318425,2.6076800427914805e-10,False,
54,0.0001713565119916436,500703.7080455173,0.0,0.013821474900028163,455.5059525486751,500703.7080455173,2.607680051006743e-10,False,
55,0.00017554471941757003,485844.41315546294,128.75905370012097,0.014474747182245395,451.96209559824706,485844.41315546294,2.6076800568324697e-10,False,
56,0.00017976899572588962,471693.44827317377,0.0,0.01514797935027723,448.51173120996697,471693.44827317377,2.607680060980673e-10,False,
57,0.00018402745831871172,458213.2362923074,131.9454276810407,0.015841443407632272,445.152850710038,458213.2362923074,2.607680063946801e-10,False,
58,0.00018831822023520622,445368.3302365041,0.0,0.016555409240600172,441.88346217771686,445368.3302365041,2.6076800660767807e-10,False,
59,0.0001926393915340843,433125.3028264624,134.97104648296616,0.01729014455796929,438.70159519611843,433125.3028264624,2.60768006761299e-10,False,
60,0.00019698908067628697,421452.6388314135,0.0,0.01804591483016449,435.6053048237724,421452.6388314135,2.607680068725863e-10,False,
61,0.0002013653959060403,410320.6307745129,137.832223855448,0.01882298322782261,432.5926748825872,410320.6307745129,2.6076800695356856e-10,False,
62,0.00020576644662840204,399701.27840129565,0.0,0.01962161055982614,429.661820647271,399701.27840129565,2.60768007012767e-10,False,
63,0.0002101903447813793,389568.1921897096,140.5254738945885,0.020442055210813548,426.810891011736,389568.1921897096,2.607680070562411e-10,False,
64,0.0002146352062006681,379896.50107450766,0.0,0.021284573078188207,424.0380701994518,379896.50107450766,2.6076800708831674e-10,False,
65,0.00021909915197504024,370662.7644739,143.04751529007828,0.022149417508644964,421.34157907706884,370662.7644739,2.607680071120941e-10,False,
66,0.00022358030979037364,361844.8886388868,0.0,0.023036839234236273,418.71967612378916,361844.8886388868,2.60768007129804e-10,False,
67,0.0002280768152603132,353422.0472926029,145.39527532296762,0.02394708630799991,416.17065810286186,353422.0472926029,2.60768007143058e-10,False,
68,0.0002325868132415353,345374.60648587183,0.0,0.02488040403917069,413.6928604761453,345374.60648587183,2.607680071530253e-10,False,
